title,phone,website,address,street,city,state,postalCode,countryCode,totalScore,reviewsCount,categories,categoryName,url,icp,icp_score,icp_evaluation
Allegiant Stadium,(725) 780-2000,https://www.allegiantstadium.com/,"3333 Al Davis Way, Las Vegas, NV 89118",3333 Al Davis Way,Las Vegas,Nevada,89118,US,4.6,12759,"['Stadium', 'Sports complex']",Stadium,https://www.google.com/maps/search/?api=1&query=Allegiant%20Stadium&query_place_id=ChIJqc24RQXFyIARySmtaubZGaU,Search for stadium,10,"Score: 10/10 - Allegiant Stadium is a large, professionally managed NFL and multi-event stadium in a major U.S. metro (65,000 capacity, hosts Raiders, concerts, Super Bowl-level events) with high review counts and extensive event/catering operations—an ideal match for initiatives to improve concessions, F&B, sustainability, and fan experience[2][3]."
Yankee Stadium,(212) 926-5337,https://www.mlb.com/yankees/ballpark,"1 E 161st St, Bronx, NY 10451",1 E 161st St,Bronx,New York,10451,US,4.7,59549,"['Stadium', 'Baseball field', 'Tourist attraction']",Stadium,https://www.google.com/maps/search/?api=1&query=Yankee%20Stadium&query_place_id=ChIJcWnnWiz0wokRCB6aVdnDQEk,Search for stadium,10,"**Score: 10/10 -** Yankee Stadium is a professional MLB stadium with a capacity of 46,537, high visitor traffic (59,549 reviews, top attendance rankings), recurring events (463 sporting events 2021-2025), in a major US metro area (Bronx, NY), and professional operations ideal for enhancing concessions, sustainability, and fan experience.[1][2][4][5]"
Citi Field,(718) 507-8499,https://www.mlb.com/mets/ballpark/,"41 Seaver Wy, Flushing, NY 11368",41 Seaver Wy,Flushing,New York,11368,US,4.6,28967,"['Stadium', 'Baseball field']",Stadium,https://www.google.com/maps/search/?api=1&query=Citi%20Field&query_place_id=ChIJldFHseBfwokRO3aZ8NSVW_U,Search for stadium,10,"Score: 10/10 - Citi Field is a professional Major League Baseball stadium in Queens, NY with very high review count (28,967) and rating, large capacity (~41,922), frequent recurring events and professional operations, matching the ICP’s focus on major U.S. stadiums where concessions, F&B, sustainability, and fan experience improvements can have meaningful impact."
AT&T Stadium,(817) 892-4000,https://attstadium.com/,"1 AT&T Way, Arlington, TX 76011",1 AT&T Way,Arlington,Texas,76011,US,4.7,45193,"['Stadium', 'Football Field', 'Tourist attraction']",Stadium,https://www.google.com/maps/search/?api=1&query=AT%26T%20Stadium&query_place_id=ChIJJ0eIyIZ9ToYR-J1qjOhgHm0,Search for stadium,10,"**Score: 10/10** - AT&T Stadium is a perfect ICP match as a large professional sports stadium in a major US metro area (Arlington, TX) with massive capacity (up to 105,000), extremely high review count (45,193), recurring events like NFL games and concerts, and significant visitor traffic contributing to 15-16 million annual visitors in the district.[1][2][3][4]"
Gillette Stadium,(508) 543-8200,https://www.gillettestadium.com/,"1 Patriot Pl, Foxborough, MA 02035",1 Patriot Pl,Foxborough,Massachusetts,2035,US,4.6,13069,"['Stadium', 'Football Field']",Stadium,https://www.google.com/maps/search/?api=1&query=Gillette%20Stadium&query_place_id=ChIJZz33diRj5IkR3spL_utr9mg,Search for stadium,10,"**Score: 10/10** - Gillette Stadium is a professional NFL stadium with 64,628 capacity, over 13,000 reviews, high attendance (e.g., sellouts, record concerts), recurring events like Patriots games and concerts, and professional management by Kraft Sports Group, perfectly matching the ICP for large US venues with significant fan experience and operations impact[3][4][6][1][2]."
Fenway Park,(877) 733-7699,https://www.mlb.com/redsox/ballpark,"4 Jersey St, Boston, MA 02215",4 Jersey St,Boston,Massachusetts,2215,US,4.8,44376,"['Stadium', 'Baseball field', 'Tourist attraction']",Stadium,https://www.google.com/maps/search/?api=1&query=Fenway%20Park&query_place_id=ChIJbz8lP_Z544kRBFV6ZMsNgKI,Search for stadium,10,"**Score: 10/10** - Fenway Park is a professional sports stadium in a major US metropolitan area (Boston, MA) with exceptionally high review counts (44,376 on Google Maps[web:0], 17,804 on TripAdvisor[1]), massive attendance (e.g., 37,000+ sellouts[1][2]), and professional MLB operations, perfectly aligning with the ICP for large venues with recurring events and high-impact opportunities in concessions, fan experience, and sustainability[web:0][1][2]."
Las Vegas Ballpark,(702) 943-7200,http://thelvballpark.com/,"1650 S Pavilion Center Dr, Las Vegas, NV 89135",1650 S Pavilion Center Dr,Las Vegas,Nevada,89135,US,4.8,2197,"['Stadium', 'Athletic field']",Stadium,https://www.google.com/maps/search/?api=1&query=Las%20Vegas%20Ballpark&query_place_id=ChIJbRZyu0a_yIARg2HFjvDfXe4,Search for stadium,9.0,"Score: 9/10 - Las Vegas Ballpark is a professionally managed, U.S.-based stadium with regular recurring events, high attendance capacity (10,000–15,000) and substantial review volume, matching your ICP for medium‑to‑large venues where concessions, F&B, sustainability and fan experience improvements would be impactful[1][5][9]."
Gerald J. Ford Stadium,(214) 768-4301,http://smumustangs.com/,"5801 Bush Ave, Dallas, TX 75205",5801 Bush Ave,Dallas,Texas,75205,US,4.5,624,"['Stadium', 'Athletic field']",Stadium,https://www.google.com/maps/search/?api=1&query=Gerald%20J.%20Ford%20Stadium&query_place_id=ChIJid1DvxqfToYRJqW_lzAuHWk,Search for stadium,9.0,"Score: 9/10 - Gerald J. Ford Stadium is a university stadium with 32,000+ capacity, high review count (624), recurring events like SMU football and bowls, professional management, and concessions in Dallas, perfectly aligning with ICP for large sports venues except slightly smaller than pro stadiums[1][2][4][7]."
Bungalow Coffee Co,(702) 331-4207,http://bungalowcoffeeco.com/,"201 E Charleston Blvd Suite 180, Las Vegas, NV 89104",201 E Charleston Blvd Suite 180,Las Vegas,Nevada,89104,US,4.7,577,"['Coffee shop', 'Art cafe', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Coffee roasters', 'Coffee store', 'Lunch restaurant', 'Toast restaurant']",Coffee shop,https://www.google.com/maps/search/?api=1&query=Bungalow%20Coffee%20Co&query_place_id=ChIJlVObWefDyIARNbWpPqDlcKo,Search for Coffee Shops,8.0,"Score: 8/10 - Bungalow Coffee Co is a high-review (577 reviews, 4.7★) specialty coffee shop in downtown Las Vegas with a large 2,500–3,000 sq ft professionally branded space, event/catering services, and an app—matching ICP geography (US major city), size indicators (200+ reviews, strong online presence), and use cases for scaling operations or sustainability improvements[1][3]."
Coffee Project New York | East Village,(212) 228-7888,https://coffeeprojectny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_ev,"239 E 5th St, New York, NY 10003",239 E 5th St,New York,New York,10003,US,4.6,806,"['Coffee shop', 'Breakfast restaurant', 'Cafe']",Coffee shop,https://www.google.com/maps/search/?api=1&query=Coffee%20Project%20New%20York%20%7C%20East%20Village&query_place_id=ChIJ_dckWptZwokR_LkU9WxPNZ4,Search for Coffee Shops,8.0,"Score: 8/10 - Coffee Project New York (East Village) is a high-review, well-established specialty coffee shop and part of a multi-location brand with a strong online presence and training/roastery operations, matching your ICP's type, geography, size indicators, and use cases; the only minor gap is that while it is regional within NYC (multiple locations), it is not a large franchise chain, so it may be slightly below the ideal scale for expansion-focused enterprise deals."
